state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
UTTAR PRADESH,SHRAVASTI 11079,172079,432955,156297,56610,84056,43,2372034,2151733,1285914,2432,1312537,29,222.11536,1002,38006,37828,132,3,34939,29542,10755,38.02191,71,39.18554,10730.04264,16668.20559,63.01279,120.63357
PUNJAB,OLD KAPURTHALA,42944,133327,69844,42616,8472,68,1529358,551843,539414,4,723436,24,311.41023,57,17525,32238,17,59,3402,7987,1399,35.61953,29,68.89729,1020.5462,1290.9288,676.98259,0.0
WEST BENGAL,24 PARGANAS (NORTH) GARH,676953,1728986,703851,1331220,399759,85351,0,81637,2486,24,837,0,199.79643,0,0,1,0,144,2304,25141,450,0.0,93,0.0,480.60897,3.00204,0.0,27.66164
JAMMU AND KASHMIR,GANDERBAL 10172,95118,41950,37107,33427,5,11395,170983,117845,6970,11499,42884,20,291.55854,44,6263,23348,90,6,29209,425,36,11.08778,35,70.78234,619.93142,12.24162,320.40965,70.30251
UTTAR PRADESH,WEST BUDAUN,183486,348472,20327,117062,16408,170,3667019,1891291,434171,1201,733335,30,212.53619,508,86516,96108,98,5,71235,12730,596,15.14921,11,42.37729,19905.82256,9821.76749,4120.49206,205.77286
ASSAM,TAMULPUR 10748,354533,241331,141786,181636,16046,14771,2813056,2293696,12073,108394,495201,48,251.76307,5,84105,53498,31,0,23934,25963,2727,3.47605,95,36.33674,3569.75435,1010.49496,746.4653,0.0
BIHAR,URBAN MUZAFFARPUR,576285,601083,221473,134276,66098,1313,4053919,2463942,1145401,11263,1029590,31,251.65312,269,194979,123721,18,0,28596,24824,10411,5.07605,57,55.40956,10075.39265,2935.5343,6901.23433,104.61668
TAMIL NADU,NEW SALEM,182918,249122,223054,286358,66635,130,6675760,3865243,369353,53853,2775911,38,240.75135,165,277626,28533,1091,0,4221,7229,4072,74.91427,55,2.29777,35810.72349,18626.58959,5854.53421,186.68875
CHHATTISGARH,SURGUJA NAGAR,124538,204852,57483,196532,50945,10100,4490372,2014094,278715,1126818,713312,30,265.10382,222,40663,66722,518,13,11461,11324,4173,44.72226,62,29.9724,5230.2814,5026.12205,695.12782,294.18085
ANDHRA PRADESH,VISAKHAPATANAM 10228,282922,386959,204859,147366,10407,12315,9772058,8326669,885050,1092823,4226304,57,221.9897,6846,168978,224227,4193,5,45674,47984,10010,46.18802,30,19.37603,41326.50622,22727.47174,4992.23516,1400.6788
